Airline,Source,Destination,Total_Stops,Price,Dep_Hours,Dep_Minutes,Arrival_Hours,Arrival_Minutes,hoursMinutes
IndiGo,Banglore,Delhi,non-stop,3897,22,20,22,20,170
Air India,Kolkata,Banglore,2 stops,7662,5,50,5,50,445
Jet Airways,Delhi,Cochin,2 stops,13882,9,25,9,25,1140
IndiGo,Kolkata,Banglore,1 stop,6218,18,5,18,5,325
SpiceJet,Kolkata,Banglore,non-stop,3873,9,0,9,0,145
Jet Airways,Banglore,Delhi,1 stop,11087,18,55,18,55,930
Jet Airways,Banglore,Delhi,1 stop,11087,8,55,8,55,1530
Multiple carriers,Delhi,Cochin,1 stop,8625,11,25,11,25,470
Air India,Delhi,Cochin,1 stop,8907,9,45,9,45,795
IndiGo,Kolkata,Banglore,non-stop,4174,20,20,20,20,155
Air India,Chennai,Kolkata,non-stop,4667,11,40,11,40,135
Jet Airways,Kolkata,Banglore,1 stop,9663,21,10,21,10,730
IndiGo,Kolkata,Banglore,non-stop,4804,17,15,17,15,155
Air India,Delhi,Cochin,2 stops,14011,16,40,16,40,1595
SpiceJet,Delhi,Cochin,1 stop,5830,8,45,8,45,270
Jet Airways,Delhi,Cochin,1 stop,10262,14,0,14,0,1355
Air India,Delhi,Cochin,2 stops,13381,20,15,20,15,1380
Jet Airways,Delhi,Cochin,1 stop,12898,16,0,16,0,1235
Air India,Banglore,Delhi,1 stop,6955,22,0,22,0,920
IndiGo,Banglore,Delhi,non-stop,3943,4,0,4,0,170
IndiGo,Banglore,Delhi,non-stop,4823,18,55,18,55,175
Jet Airways,Kolkata,Banglore,1 stop,7757,18,55,18,55,800
Jet Airways,Delhi,Cochin,2 stops,13292,21,25,21,25,910
IndiGo,Delhi,Cochin,1 stop,8238,21,50,21,50,345
GoAir,Delhi,Cochin,1 stop,7682,7,0,7,0,355
Vistara,Banglore,Delhi,non-stop,4668,9,45,9,45,170
Vistara,Chennai,Kolkata,non-stop,3687,7,5,7,5,135
Vistara,Chennai,Kolkata,non-stop,3687,7,5,7,5,135
Air India,Kolkata,Banglore,2 stops,13227,9,50,9,50,805
IndiGo,Banglore,Delhi,non-stop,4423,4,0,4,0,170
Jet Airways,Delhi,Cochin,2 stops,10919,14,35,14,35,1320
Jet Airways,Delhi,Cochin,1 stop,12373,7,5,7,5,330
IndiGo,Delhi,Cochin,1 stop,5894,10,35,10,35,625
SpiceJet,Kolkata,Banglore,1 stop,4649,15,5,15,5,315
Air India,Kolkata,Banglore,non-stop,6245,14,15,14,15,150
Jet Airways,Banglore,Delhi,1 stop,19225,7,0,7,0,375
Jet Airways,Delhi,Cochin,1 stop,14924,7,5,7,5,715
Multiple carriers,Delhi,Cochin,1 stop,9646,7,5,7,5,665
Air India,Banglore,Delhi,1 stop,8714,6,45,6,45,510
Jet Airways,Delhi,Cochin,1 stop,12373,20,55,20,55,1325
Air Asia,Banglore,Delhi,non-stop,3383,11,10,11,10,165
Multiple carriers,Delhi,Cochin,1 stop,13062,9,0,9,0,720
SpiceJet,Banglore,Delhi,non-stop,3527,5,45,5,45,170
IndiGo,Banglore,Delhi,non-stop,3943,4,0,4,0,170
Air India,Chennai,Kolkata,non-stop,4667,11,40,11,40,135
Air India,Kolkata,Banglore,1 stop,6117,19,0,19,0,965
Jet Airways,Delhi,Cochin,2 stops,11150,23,5,23,5,1195
Jet Airways,Delhi,Cochin,non-stop,7202,11,0,11,0,195
Jet Airways,Kolkata,Banglore,1 stop,12121,9,35,9,35,1520
IndiGo,Banglore,Delhi,non-stop,4377,22,20,22,20,170
IndiGo,Banglore,Delhi,non-stop,3943,21,15,21,15,180
Air Asia,Banglore,Delhi,non-stop,4483,23,55,23,55,170
Jet Airways,Kolkata,Banglore,1 stop,14231,19,45,19,45,975
Air India,Banglore,Delhi,2 stops,17345,8,50,8,50,905
Vistara,Chennai,Kolkata,non-stop,7414,7,5,7,5,135
Multiple carriers,Delhi,Cochin,1 stop,8073,19,0,19,0,390
Vistara,Mumbai,Hyderabad,1 stop,12395,15,40,15,40,1505
Air India,Kolkata,Banglore,1 stop,8366,9,25,9,25,745
Air India,Delhi,Cochin,1 stop,5117,6,5,6,5,1640
Multiple carriers,Delhi,Cochin,1 stop,12524,8,45,8,45,615
IndiGo,Delhi,Cochin,1 stop,7191,15,0,15,0,630
Vistara,Chennai,Kolkata,non-stop,3687,7,5,7,5,135
IndiGo,Delhi,Cochin,1 stop,5894,10,35,10,35,625
Vistara,Banglore,Delhi,non-stop,5403,9,45,9,45,170
Air India,Mumbai,Hyderabad,non-stop,3625,13,55,13,55,90
Air India,Delhi,Cochin,2 stops,10861,5,55,5,55,800
IndiGo,Chennai,Kolkata,non-stop,6297,13,20,13,20,135
Jet Airways,Mumbai,Hyderabad,non-stop,5678,7,5,7,5,85
Jet Airways,Banglore,Delhi,1 stop,9134,5,45,5,45,1590
